Model,proportion
E75N1,0.00014640134238769328
UNKNOWN,0.00014640134238769328
1124A,0.00014640134238769328
269,0.00014640134238769328
525A,0.00014640134238769328
PA-60-600,0.00014640134238769328
PA 22-150,0.00014640134238769328
S2C,0.00014640134238769328
A45,0.00014640134238769328
337B,0.00014640134238769328
Exec 162F,0.00013513970066556303
BO-105,0.00013513970066556303
RX-8,0.00013513970066556303
EMB145,0.00013513970066556303
PA-28-140B,0.00013513970066556303
PC-12/45,0.00013513970066556303
204B,0.00013513970066556303
S55A,0.00013513970066556303
727-100,0.00013513970066556303
SA-227-AC,0.00013513970066556303
