latitude,longitude
035526N,1013018W
029182N,0081649W
354842N,0834628W
441533N,0735838W
313314N,0815257W
040372N,0741440W
375854N,0842446W
341028N,0833340W
037416N,0079022W
315454N,0081139W
385325N,0090246W
335429N,0841837W
343343N,0834249W
314212N,1101453W
245811N,0805413W
032270N,0082220W
003576N,0089224W
394150N,0835925W
373957N,0097424W
294324N,0911834W
037578N,1075419W
035826N,1064725W
031497N,1022819W
295832N,0009252W
362529N,0095549W
425543N,0711113W
353630N,0805335W
034210N,0118401W
003200N,0009500W
275947N,0008216W
324446N,0974056W
004421N,0985911W
035842N,1064742W
613452N,0150281W
061240N,1493050W
041131N,0802448W
041233N,0723021W
037837N,0093515W
385835N,0761947W
411716N,0741714W
383943N,0090397W
040112N,1114534W
004554N,0701235W
042515N,0735526W
043110N,0084759W
182545N,0694031W
385030N,0951033W
435710N,0703754W
604647N,1615017W
605025N,1521051W
355837N,0011587W
474614N,0096362W
351857N,1063437W
441825N,0884616W
303613N,0852915W
384327N,1204512W
321321N,0804910W
315331N,1064325W
325918N,1112028W
361024N,0083950W
043261N,0071324W
281723N,0812613W
035372N,0106522W
046232N,1222511W
301347N,0952957W
016590N,0096430W
365032N,1195227W
345420N,1115228W
403234N,0864054W
035214N,1063620W
392924N,0872850W
323821N,0009792W
432356N,0845750W
292031N,0994219W
325244N,0105570W
301722N,0874018W
414723N,0723223W
453150N,1224045W
312230N,0087100W
,
031142N,0094450W
413823N,0913250W
034560N,0081140W
404516N,0074025W
364634N,0119435W
384546N,1194735W
,
414610N,0881444W
391859N,0120750W
463544N,1225513W
475158N,1195634W
035818N,1114016W
385558N,1192058W
375134N,1124857W
474058N,1171921W
040409N,0893636W
373043N,1221458W
434950N,0711113W
,
042256N,0762316W
332513N,1124110W
342811N,0101181W
291456N,0951941W
036416N,0931810W
044538N,0096582W
341345N,0861521W
033121N,0971131W
,1025219E
033245N,1182519W
341550N,1165122W
394651N,0881822W
383943N,0090397W
035321N,0080270W
365712N,1212756W
028346N,0814511W
615546N,1514351W
271948S,0702341W
,
385637N,1082059W
003433N,0102280W
